"_id","_labels","ip","name","type","_start","_end","_type"
"18",":iperf_3_example","127.0.0.1","h1","host",,,
"19",":iperf_3_example","127.0.0.2","h2","host",,,
"20",":iperf_3_example","","s1","switch",,,
"21",":iperf_3_example","","s2","switch",,,
"22",":iperf_3_example","","s3","switch",,,
"23",":iperf_3_example","","c1","controller",,,
"24",":iperf_5_example","127.0.0.1","h1","host",,,
"25",":iperf_5_example","127.0.0.2","h2","host",,,
"26",":iperf_5_example","","s1","switch",,,
"27",":iperf_5_example","","s2","switch",,,
"28",":iperf_5_example","","s3","switch",,,
"29",":iperf_5_example","","s4","switch",,,
"30",":iperf_5_example","","s5","switch",,,
"31",":iperf_5_example","","c1","controller",,,
,,,,,"18","20","PORT"
,,,,,"21","20","PORT"
,,,,,"21","22","PORT"
,,,,,"19","22","PORT"
,,,,,"24","26","PORT"
,,,,,"26","27","PORT"
,,,,,"27","28","PORT"
,,,,,"28","29","PORT"
,,,,,"29","30","PORT"
,,,,,"25","30","PORT"
