_id,_labels,ip,name,type,_start,_end,_type
0,:department_network,127.0.0.1,bob,host,,,
1,:department_network,127.0.0.2,frank,host,,,
2,:department_network,127.0.0.3,margret,host,,,
3,:department_network,127.0.0.4,tim,host,,,
4,:department_network,127.0.0.5,susan,host,,,
5,:department_network,127.0.1.1,cb,host,,,
6,:department_network,127.0.1.2,dustin,host,,,
7,:department_network,127.0.1.3,mark,host,,,
8,:department_network,127.0.2.1,rick,host,,,
9,:department_network,127.0.2.2,jessica,host,,,
10,:department_network,127.0.2.3,tony,host,,,
11,:department_network,127.0.2.4,matt,host,,,
12,:department_network,127.0.3.1,lisa,host,,,
13,:department_network,127.0.3.2,janet,host,,,
14,:department_network,127.0.4.1,shane,host,,,
15,:department_network,127.0.4.2,scott,host,,,
16,:department_network,127.0.0.6,sam,host,,,
17,:department_network,127.0.0.7,marge,host,,,
18,:department_network,127.0.1.4,bart,host,,,
19,:department_network,127.0.1.5,layne,host,,,
20,:department_network,127.0.2.5,margaret,host,,,
21,:department_network,127.0.2.6,jimmy,host,,,
22,:department_network,127.0.1.6,neutron,host,,,
23,:department_network,127.0.2.7,carl,host,,,
24,:department_network,127.0.3.6,wheezer,host,,,
25,:department_network,127.0.3.7,sheen,host,,,
26,:department_network,127.0.4.6,estevez,host,,,
27,:department_network,127.0.5.1,timmy,host,,,
28,:department_network,127.0.5.2,turner,host,,,
29,:department_network,127.0.5.3,patrick,host,,,
30,:department_network,127.0.5.4,star,host,,,
31,:department_network,127.0.5.5,stimpy,host,,,
32,:department_network,127.0.0.2,aa,host,,,
33,:department_network,127.0.0.3,bb,host,,,
34,:department_network,127.0.0.4,cc,host,,,
35,:department_network,127.0.0.5,dd,host,,,
36,:department_network,127.0.0.6,ee,host,,,
37,:department_network,127.0.1.2,ff,host,,,
38,:department_network,127.0.1.3,gg,host,,,
39,:department_network,127.0.1.4,hh,host,,,
40,:department_network,127.0.2.2,ii,host,,,
41,:department_network,127.0.2.3,jj,host,,,
42,:department_network,127.0.2.4,kk,host,,,
43,:department_network,127.0.2.5,ll,host,,,
44,:department_network,127.0.3.2,mm,host,,,
45,:department_network,127.0.3.3,nn,host,,,
46,:department_network,127.0.4.2,oo,host,,,
47,:department_network,127.0.4.3,pp,host,,,
48,:department_network,127.0.0.7,qq,host,,,
49,:department_network,127.0.0.8,rr,host,,,
50,:department_network,127.0.1.5,ss,host,,,
51,:department_network,127.0.1.6,tt,host,,,
52,:department_network,127.0.2.6,uu,host,,,
53,:department_network,127.0.2.7,vv,host,,,
54,:department_network,127.0.1.7,ww,host,,,
55,:department_network,127.0.2.8,xx,host,,,
56,:department_network,127.0.3.7,yy,host,,,
57,:department_network,127.0.3.8,zz,host,,,
58,:department_network,127.0.4.7,qqq,host,,,
59,:department_network,127.0.5.2,www,host,,,
60,:department_network,127.0.5.3,eee,host,,,
61,:department_network,127.0.5.4,rrr,host,,,
62,:department_network,127.0.5.5,ttt,host,,,
63,:department_network,127.0.5.6,yyy,host,,,
71,:department_network,127.0.0.2,bob,host,,,
72,:department_network,127.0.0.3,frank,host,,,
73,:department_network,127.0.0.4,margret,host,,,
74,:department_network,127.0.0.5,tim,host,,,
75,:department_network,127.0.0.6,susan,host,,,
76,:department_network,127.0.1.2,cb,host,,,
77,:department_network,127.0.1.3,dustin,host,,,
78,:department_network,127.0.1.4,mark,host,,,
79,:department_network,127.0.2.2,rick,host,,,
80,:department_network,127.0.2.3,jessica,host,,,
81,:department_network,127.0.2.4,tony,host,,,
82,:department_network,127.0.2.5,matt,host,,,
83,:department_network,127.0.3.2,lisa,host,,,
84,:department_network,127.0.3.3,janet,host,,,
85,:department_network,127.0.4.2,shane,host,,,
86,:department_network,127.0.4.3,scott,host,,,
87,:department_network,127.0.0.7,sam,host,,,
88,:department_network,127.0.0.8,marge,host,,,
89,:department_network,127.0.1.5,bart,host,,,
90,:department_network,127.0.1.6,layne,host,,,
91,:department_network,127.0.2.6,margaret,host,,,
92,:department_network,127.0.2.7,jimmy,host,,,
93,:department_network,127.0.1.7,neutron,host,,,
94,:department_network,127.0.2.8,carl,host,,,
95,:department_network,127.0.3.7,wheezer,host,,,
96,:department_network,127.0.3.8,sheen,host,,,
97,:department_network,127.0.4.7,estevez,host,,,
98,:department_network,127.0.5.2,timmy,host,,,
99,:department_network,127.0.5.3,turner,host,,,
100,:department_network,127.0.5.4,patrick,host,,,
101,:department_network,127.0.5.5,star,host,,,
102,:department_network,127.0.5.6,stimpy,host,,,
103,:department_network,127.0.0.3,aa,host,,,
104,:department_network,127.0.0.4,bb,host,,,
105,:department_network,127.0.0.5,cc,host,,,
106,:department_network,127.0.0.6,dd,host,,,
107,:department_network,127.0.0.7,ee,host,,,
108,:department_network,127.0.1.3,ff,host,,,
109,:department_network,127.0.1.4,gg,host,,,
110,:department_network,127.0.1.5,hh,host,,,
111,:department_network,127.0.2.3,ii,host,,,
112,:department_network,127.0.2.4,jj,host,,,
113,:department_network,127.0.2.5,kk,host,,,
114,:department_network,127.0.2.6,ll,host,,,
115,:department_network,127.0.3.3,mm,host,,,
116,:department_network,127.0.3.4,nn,host,,,
117,:department_network,127.0.4.3,oo,host,,,
118,:department_network,127.0.4.4,pp,host,,,
119,:department_network,127.0.0.8,qq,host,,,
120,:department_network,127.0.0.9,rr,host,,,
121,:department_network,127.0.1.6,ss,host,,,
122,:department_network,127.0.1.7,tt,host,,,
123,:department_network,127.0.2.7,uu,host,,,
124,:department_network,127.0.2.8,vv,host,,,
125,:department_network,127.0.1.8,ww,host,,,
126,:department_network,127.0.2.9,xx,host,,,
127,:department_network,127.0.3.8,yy,host,,,
128,:department_network,127.0.3.9,zz,host,,,
129,:department_network,127.0.4.8,qqq,host,,,
130,:department_network,127.0.5.3,www,host,,,
131,:department_network,127.0.5.4,eee,host,,,
132,:department_network,127.0.5.5,rrr,host,,,
133,:department_network,127.0.5.6,ttt,host,,,
134,:department_network,127.0.5.7,yyy,host,,,
64,:department_network,,hr1,switch,,,
65,:department_network,,finance2,switch,,,
66,:department_network,,wt3,switch,,,
67,:department_network,,transit4,switch,,,
68,:department_network,,ebci5,switch,,,
69,:department_network,,IT6,switch,,,
70,:department_network,,c1,controller,,,
,,,,,0,64,PORT
,,,,,1,64,PORT
,,,,,2,64,PORT
,,,,,3,64,PORT
,,,,,4,64,PORT
,,,,,5,64,PORT
,,,,,6,64,PORT
,,,,,7,64,PORT
,,,,,8,64,PORT
,,,,,9,64,PORT
,,,,,10,65,PORT
,,,,,11,65,PORT
,,,,,12,65,PORT
,,,,,13,65,PORT
,,,,,14,65,PORT
,,,,,15,65,PORT
,,,,,16,65,PORT
,,,,,17,65,PORT
,,,,,18,65,PORT
,,,,,19,66,PORT
,,,,,20,66,PORT
,,,,,21,66,PORT
,,,,,22,66,PORT
,,,,,23,66,PORT
,,,,,24,66,PORT
,,,,,25,66,PORT
,,,,,26,66,PORT
,,,,,27,66,PORT
,,,,,28,66,PORT
,,,,,29,67,PORT
,,,,,30,67,PORT
,,,,,31,67,PORT
,,,,,32,67,PORT
,,,,,33,67,PORT
,,,,,34,67,PORT
,,,,,35,67,PORT
,,,,,36,67,PORT
,,,,,37,67,PORT
,,,,,38,67,PORT
,,,,,39,68,PORT
,,,,,40,68,PORT
,,,,,41,68,PORT
,,,,,42,68,PORT
,,,,,43,68,PORT
,,,,,44,68,PORT
,,,,,45,68,PORT
,,,,,46,68,PORT
,,,,,47,68,PORT
,,,,,48,68,PORT
,,,,,49,69,PORT
,,,,,50,69,PORT
