"_id","_labels","ip","name","type","_start","_end","_type","_bw","_delay","_loss","_queue"
0,":pair_network","127.0.0.1","a1","host",,,,,,,
1,":pair_network","127.0.0.2","a2","host",,,,,,,
2,":pair_network","127.0.0.3","b1","host",,,,,,,
3,":pair_network","127.0.0.4","b2","host",,,,,,,
4,":pair_network","127.0.0.5","c1","host",,,,,,,
5,":pair_network","127.0.1.1","c2","host",,,,,,,
6,":pair_network","127.0.1.2","d1","host",,,,,,,
7,":pair_network","127.0.1.3","d2","host",,,,,,,
8,":pair_network","127.0.2.1","e1","host",,,,,,,
9,":pair_network","127.0.2.2","e2","host",,,,,,,
,,,,,0,1,"PORT",100,"1000ms",,
,,,,,2,3,"PORT",100,,,
,,,,,4,5,"PORT",,"500ms",,
,,,,,6,7,"PORT",,,50,
,,,,,8,9,"PORT",,"1000ms",,20
