"_id","_labels","ip","name","type","_start","_end","_type"
"18",":iperf_3_example","127.0.0.1","h1","host",,,
"19",":iperf_3_example","127.0.0.2","h2","host",,,
"20",":iperf_3_example","","s1","switch",,,
"21",":iperf_3_example","","s2","switch",,,
"22",":iperf_3_example","","s3","switch",,,
"23",":iperf_3_example","","c1","controller",,,
"24",":iperf_5_example","127.0.0.1","h1","host",,,
"25",":iperf_5_example","127.0.0.2","h2","host",,,
"26",":iperf_5_example","","s1","switch",,,
"27",":iperf_5_example","","s2","switch",,,
"28",":iperf_5_example","","s3","switch",,,
"29",":iperf_5_example","","s4","switch",,,
"30",":iperf_5_example","","s5","switch",,,
"31",":iperf_5_example","","c1","controller",,,
"32",":pingAll_example1","127.0.0.1","h1","host",,,
"33",":pingAll_example1","127.0.0.2","h2","host",,,
"34",":pingAll_example1","127.0.0.3","h3","host",,,
"35",":pingAll_example1","127.0.0.4","h4","host",,,
"36",":pingAll_example1","127.0.0.5","h5","host",,,
"37",":pingAll_example1","127.0.0.6","h6","host",,,
"38",":pingAll_example1","","s1","switch",,,
"39",":pingAll_example1","","s2","switch",,,
"53",":pingAll_example1","","s3","switch",,,
"54",":pingAll_example1","","c1","controller",,,
"55",":pingAll_example2","127.0.0.1","h1","host",,,
"56",":pingAll_example2","127.0.0.2","h2","host",,,
"57",":pingAll_example2","127.0.0.3","h3","host",,,
"58",":pingAll_example2","127.0.0.4","h4","host",,,
"59",":pingAll_example2","127.0.0.5","h5","host",,,
"60",":pingAll_example2","127.0.0.6","h6","host",,,
"61",":pingAll_example2","","s1","switch",,,
"62",":pingAll_example2","","s2","switch",,,
"63",":pingAll_example2","","s3","switch",,,
"64",":pingAll_example2","","c1","controller",,,
,,,,,"18","20","PORT"
,,,,,"21","20","PORT"
,,,,,"21","22","PORT"
,,,,,"19","22","PORT"
,,,,,"24","26","PORT"
,,,,,"26","27","PORT"
,,,,,"27","28","PORT"
,,,,,"28","29","PORT"
,,,,,"29","30","PORT"
,,,,,"25","30","PORT"
,,,,,"32","38","PORT"
,,,,,"35","53","PORT"
,,,,,"36","53","PORT"
,,,,,"38","39","PORT"
,,,,,"53","39","PORT"
,,,,,"55","61","PORT"
,,,,,"56","61","PORT"
,,,,,"57","61","PORT"
,,,,,"58","63","PORT"
,,,,,"59","63","PORT"
,,,,,"61","62","PORT"
,,,,,"62","63","PORT"
